CPD_DEBUG!PrintTesterBin,Modules/FAILFLOW/; Modules/PWRDWN/; 
CPD_DEBUG!WriteGlobal,Modules/PWRDWN/; 
CPD_UF.dll!Get_Visual_Id,Modules/STARTUP/; 
HWI_UF!HWIEXTVbumpSetup VCCFUSEPRG VBMPCTRL0 VBMPCTRL1 2 4,Modules/FUSE/; 
HWI_UF!HWIEXTVbumpSetup VCCP IMEASTRIG0 IMEASTRIG1 1 1,Modules/POWER/; Modules/POWERVERIFY/; 
HWI_UF!LCMCheck,Modules/INIT1/; 
HWI_UF!UtilityBitsControlFunction 0,Modules/THERMAL/; 
HWI_UF!UtilityBitsControlFunction 4,Modules/THERMAL/; 
iCNHMAVIDTest!LevelsUpdate,Modules/POWER2/; 
iCNHMAVIDTest!PowerFlowChecker,Modules/POWERVERIFY/; 
iCNHMAVIDTest!PowerHouse,Modules/POWER/; 
NHM_UF!DffTokenWriteFLWDAndMQDF,Modules/PWRDWN/; 
NHM_UF!GetFlowNumFromBinNum,Modules/WHICHFLOW/; 
NHM_UF!ParseL2MapFile,Modules/INIT1/; 
NHM_UF!RemapFailingDUT,Base/gns_bx_class_Base.tpl; 
NHM_UF!TokenRedirect,Modules/POWER/; ,
NHM_UF!TokenRedirect /I GNS_130W /O UFG_Active_BomGroup /T 0 /L STRING,Modules/INIT1/; ,
NHM_UF!TokenRedirect /I GNS_130W_60W /O UFG_Active_BomGroup /T 0 /L STRING,Modules/INIT1/; ,
NHM_UF!TokenRedirect /I GNS_130W_80W /O UFG_Active_BomGroup /T 0 /L STRING,Modules/INIT1/; ,
NHM_UF!TokenRedirect /I GNS_130W_95W /O UFG_Active_BomGroup /T 0 /L STRING,Modules/INIT1/; ,
NHM_UF!TokenRedirect /I GNS_BD_130W /O UFG_Active_BomGroup /T 0 /L STRING,Modules/INIT1/; ,
NHM_UF!TokenRedirect /I GNS_BD_130W_60W /O UFG_Active_BomGroup /T 0 /L STRING,Modules/INIT1/; ,
NHM_UF!TokenRedirect /I GNS_BD_130W_95W /O UFG_Active_BomGroup /T 0 /L STRING,Modules/INIT1/; ,
NHM_UF!TokenRedirect /I GNS_BD_COMBINED /O UFG_Active_BomGroup /T 0 /L STRING,Modules/INIT1/; ,
NHM_UF!TokenRedirect /I GNS_COMBINED /O UFG_Active_BomGroup /T 0 /L STRING,Modules/INIT1/; ,
NHM_UF.dll!ThermalMeasPerSearchSet,EDC::DATA_POSTEDCTEMP,Modules/EDC/; 
OASIS_binMatrixFlowControl_tt,Modules/CACHE/; Modules/CSIXSHIP/; Modules/DOWNBINSCREEN/; Modules/FWFT/; Modules/PLL/; Modules/POWERVERIFY/; Modules/PSTATE/; Modules/PWRDWN/; Modules/SBFT/; Modules/STARTUP/; Modules/WHICHFLOW/; Modules/XSHIP/; ,
OASIS_bkgnd_tt,Base/gns_bx_class_Base.tpl; ,
OASIS_camEcc_tt,Modules/CACHE/; ,
OASIS_ChipOnTiu_tt,Modules/CACHE/; Modules/DTSCALC/; Modules/EDC/; Modules/INIT1/; Modules/POWER/; Modules/THERMAL/; ,
OASIS_cmemDecode_tt,Modules/BGTRIM/; Modules/DTSTRIM/; Modules/DV_SCREEN/; Modules/FSM/; Modules/FSM_ENG/; Modules/PLL/; Modules/PLL_ENG/; ,
OASIS_dcParametric_tt,Modules/BGTRIM/; Modules/RSS/; Modules/VIXVOX/; 
OASIS_dts_tt,Modules/DTSCALC/; Modules/DTSTRIM/; 
OASIS_EDM_tt,Modules/DTSTRIM/; 
OASIS_EPCS_tt,Modules/DTSCALC/; 
OASIS_findULTorVID_tt,Modules/DEMIX/; 
OASIS_flowFork_tt,Modules/BGTRIM/; Modules/DEMIX/; Modules/DOWNBINSCREEN/; Modules/FUSE/; Modules/WHICHFLOW/; 
OASIS_func_tt,Modules/EDC/; Modules/INIT1/; Modules/IOCSI_ENG/; Modules/PLL_ENG/; Modules/POWER/; Modules/PWRDWN/; Modules/TX_CM/; Modules/TX_P2P/; Modules/VIXVOX/; 
OASIS_GEN_IPO_tt!SetIPOAltInstanceName,Modules/FSM_ENG/; 
OASIS_GEN_PcuTherm_tt!BinForTherm,Modules/PWRDWN/; 
OASIS_GEN_PcuTherm_tt!DTSSOTConfig,Modules/DTSCALC/; 
OASIS_GEN_PcuTherm_tt!RTKL,Modules/FWFT/; 
OASIS_GEN_PcuTherm_tt!RTKLCMEMEnable,Modules/FWFT/; 
OASIS_glxpress_tt,Modules/DEMIX/; Modules/DTSCALC/; Modules/DTSTRIM/; Modules/EDC/; Modules/FSM_ENG/; Modules/FUSE/; Modules/INIT1/; Modules/POWER/; 
OASIS_icc_tt,Modules/POWER/; Modules/POWERVERIFY/; 
OASIS_idvpro_tt,Modules/IDV/; 
OASIS_init_tt,Modules/INIT1/; 
OASIS_IOCSIEye_tt,Modules/IOCSI_ENG/; Modules/TX_P2P/; 
OASIS_IOCSIRxCM_tt,Modules/TX_CM/; 
OASIS_IOCSIRxJitter_tt,Modules/TX_CM/; 
OASIS_IOCSITxCM_tt,Modules/TX_CM/; 
OASIS_IPO_tt,Modules/FSM/; Modules/FSM_ENG/; Modules/TX_P2P/; 
OASIS_ituff_tt,Base/gns_bx_class_Base.tpl; 
OASIS_leakage_tt,Modules/LEAKAGE/; 
OASIS_NGfuseBurn_tt,Modules/FUSE/; 
