P2463724,1,P2463724,1
P2463754,1,P2261928,1
P2429974,1,P2245118,1
P2452700,1,P2249118,1
P2247578,1,P2447110,1
P2483278,1,P2314818,1
P2429384,1,P2210378,1
P2430814,1,P2468294,1
P2481428,1,P2396234,1
P2571092,1,P2261478,1
P2245088,1,P2468324,1
P2246038,1,P2802234,1
P2246818,1,P2246978,1
P2253538,1,P2469754,1
P2245118,1,P2430274,1
P2253748,1,P2396854,1
P2258998,1,P2257668,1
P2260258,1,P2430364,1
P2326588,1,P2447410,1
P2244168,1,P2449470,1
P2244228,1,P2452700,1
P2246218,1,P2387948,1
P2246778,1,P2422612,1
P2244958,1,P2244928,1
P2244968,1,P2463754,1
P2429414,1,P2468204,1
P2474688,1,P2808851,1
P2253618,1,P2463744,1
P2255188,1,P2325028,1
P2256388,1,P2255418,1
P2258968,1,P2248568,1
P2242698,1,P2430054,1
P2245058,1,P2487158,1
P2245148,1,P2801754,1
P2245258,1,P2802219,1
P2245348,1,P6013449,1
P2245388,1,P2324588,1
P2245398,1,P2400150,1
P2251748,1,P2323998,1
P2252878,1,,
P2253138,1,,
P2254138,1,,
P2259438,1,,
P2259688,1,,
P2260428,1,,
P2324998,1,,
P2325028,1,,
P2325258,1,,
P2326068,1
P2329378,1
P2329388,1
P2345800,1
P2396084,1
P2396184,1
P2437016,1
P2437046,1
P2437586,1
P2437596,1
P2437706,1
P2437746,1
P2437766,1
P2437776,1
P2442688,1
P2442758,1
P2446880,1
P2448630,1
P2449070,1
P2449080,1
P2214978,1
P2218838,1
P2401436,1
P2415932,1
P2422612,1
P2429534,1
P2429564,1
P2429984,1
P2430284,1
P2433976,1
P2445110,1
P2445240,1
P2446400,1
P2449810,1
P2452690,1
P2468134,1
P2468204,1
P2468224,1
P2474208,1
P2474738,1
P2478598,1
P2478768,1
P2479368,1
P2479478,1
P2481718,1
P2482132,1
P2494798,1
P2496118,1
P2509378,1
P2243328,1
P2244748,1
P2244778,1
P2259638,1
P2259658,1
P2324878,1
P2387948,1
P2437656,1
P2442748,1
P2216568,1
P2217478,1
P2218558,1
P2218628,1
P2242738,1
P2242858,1
P2243008,1
P2243368,1
P2244218,1
P2244258,1
P2244908,1
P2244928,1
P2245278,1
P2245308,1
P2245418,1
P2245448,1
P2245488,1
P2245528,1
P2245588,1
P2245758,1
P2245948,1
P2246018,1
P2246318,1
P2247048,1
P2247088,1
P2247128,1
P2248318,1
P2248698,1
P2251588,1
P2252728,1
P2252838,1
P2253848,1
P2254198,1
P2254348,1
P2255418,1
P2255918,1
P2256018,1
P2260138,1
P2260238,1
P2324408,1
P2324568,1
P2324588,1
P2324598,1
P2324608,1
P2325018,1
P2325068,1
P2326398,1
P2326528,1
P2329458,1
P2396094,1
P2396124,1
P2396194,1
